maintenance_event_id,timestamp,Last_Maintenance_Days_Ago,Maintenance_History_Count,Failure_History_Count,maintenance_type,failure_type,failure_code,failure_severity,repair_time_minutes,downtime_minutes,technician_id,spare_part_used,maintenance_cost,old_machine_id,machine_id,machine_name,machine_type,factory_id,factory_name,country,production_line_id,production_line_name,product_family,manufacturer,criticality_level,machine_generation,site_maturity_level,equipment_level,sensor_reliability,data_quality_level,maintenance_strategy,machine_availability_profile,oee_profile,unplanned_downtime_profile,quality_drift_profile,energy_efficiency_profile,systems_maturity
MEV0000,2026-01-01 06:00:00,15.0,7.0,1.0,preventive,electrical,F004,critical,113.0,49.0,TECH01,bearing,1347.0,M04,QLT_FR_001,Contrôle qualité vision,Contrôle qualité,FR01,Usine Lyon,France,FR_L_QUALITE,Contrôle qualité précision,Turbomachine aéronautique,Keyence,medium,recent,mature,recent,high,high,preventive,stable,stable,low,low,optimized,MES/SCADA/GMAO integres
MEV0001,2026-01-01 06:05:00,19.0,28.0,2.0,corrective,electrical,F004,critical,95.0,85.0,TECH03,bearing,1262.0,M03,FOU_FR_001,Four traitement thermique,Four industriel,FR01,Usine Lyon,France,FR_L_ARBRES,Ligne arbres de transmission,Transmission automobile,SECO/WARWICK,critical,mid_life,mature,recent,high,high,preventive,stable,stable,low,low,optimized,MES/SCADA/GMAO integres
MEV0002,2026-01-01 06:10:00,117.0,7.0,48.4440961337513,corrective,electrical,F001,minor,77.0,236.0,TECH01,valve,869.0,M02,LAS_FR_001,Découpe laser Trumpf,Découpe laser,FR01,Usine Lyon,France,FR_L_FREINS,Ligne disques de frein,Freinage automobile,Trumpf,medium,recent,mature,recent,high,high,preventive,stable,stable,low,low,optimized,MES/SCADA/GMAO integres
MEV0003,2026-01-01 06:15:00,14.0,6.0,4.0,corrective,electrical,F001,minor,156.0,202.0,TECH01,valve,1396.0,M02,LAS_FR_001,Découpe laser Trumpf,Découpe laser,FR01,Usine Lyon,France,FR_L_FREINS,Ligne disques de frein,Freinage automobile,Trumpf,medium,recent,mature,recent,high,high,preventive,stable,stable,low,low,optimized,MES/SCADA/GMAO integres
MEV0004,2026-01-01 06:20:00,71.0,7.0,12.0,preventive,electrical,F003,critical,74.0,154.0,TECH03,pump,2829.0,M01,CNC_FR_001,Centre d'usinage Mazak,CNC,FR01,Usine Lyon,France,FR_L_CARTERS,Ligne carters moteur,Moteur automobile,Mazak,high,recent,mature,recent,high,high,preventive,stable,stable,low,low,optimized,MES/SCADA/GMAO integres
MEV0005,2026-01-01 06:25:00,6.0,24.0,12.0,corrective,electrical,F001,critical,64.0,159.0,TECH03,sensor,2973.0,M02,LAS_FR_001,Découpe laser Trumpf,Découpe laser,FR01,Usine Lyon,France,FR_L_FREINS,Ligne disques de frein,Freinage automobile,Trumpf,medium,recent,mature,recent,high,high,preventive,stable,stable,low,low,optimized,MES/SCADA/GMAO integres
MEV0006,2026-01-01 06:30:00,34.0,15.0,5.0,preventive,electrical,F003,minor,119.5,65.0,TECH01,sensor,224.0,M04,QLT_FR_001,Contrôle qualité vision,Contrôle qualité,FR01,Usine Lyon,France,FR_L_QUALITE,Contrôle qualité précision,Turbomachine aéronautique,Keyence,medium,recent,mature,recent,high,high,preventive,stable,stable,low,low,optimized,MES/SCADA/GMAO integres
MEV0007,2026-01-01 06:35:00,88.0,2.0,1.0,corrective,electrical,F003,minor,175.0,65.0,TECH03,valve,2180.0,M01,CNC_FR_001,Centre d'usinage Mazak,CNC,FR01,Usine Lyon,France,FR_L_CARTERS,Ligne carters moteur,Moteur automobile,Mazak,high,recent,mature,recent,high,high,preventive,stable,stable,low,low,optimized,MES/SCADA/GMAO integres
MEV0008,2026-01-01 06:40:00,25.0,14.0,13.0,preventive,hydraulic,F003,major,172.0,221.0,TECH03,valve,400.0,M04,QLT_FR_001,Contrôle qualité vision,Contrôle qualité,FR01,Usine Lyon,France,FR_L_QUALITE,Contrôle qualité précision,Turbomachine aéronautique,Keyence,medium,recent,mature,recent,high,high,preventive,stable,stable,low,low,optimized,MES/SCADA/GMAO integres
MEV0009,2026-01-01 06:45:00,57.0,17.0,10.0,preventive,mechanical,F002,minor,45.0,21.0,TECH02,valve,177.0,M04,QLT_FR_001,Contrôle qualité vision,Contrôle qualité,FR01,Usine Lyon,France,FR_L_QUALITE,Contrôle qualité précision,Turbomachine aéronautique,Keyence,medium,recent,mature,recent,high,high,preventive,stable,stable,low,low,optimized,MES/SCADA/GMAO integres
MEV0010,2026-01-01 06:50:00,89.0,10.0,1.0,preventive,mechanical,F004,major,81.0,85.0,TECH02,pump,2452.0,M04,QLT_FR_001,Contrôle qualité vision,Contrôle qualité,FR01,Usine Lyon,France,FR_L_QUALITE,Contrôle qualité précision,Turbomachine aéronautique,Keyence,medium,recent,mature,recent,high,high,preventive,stable,stable,low,low,optimized,MES/SCADA/GMAO integres
MEV0011,2026-01-01 06:55:00,50.0,19.0,11.0,preventive,mechanical,F004,minor,168.0,151.0,TECH01,valve,1229.0,M02,LAS_FR_001,Découpe laser Trumpf,Découpe laser,FR01,Usine Lyon,France,FR_L_FREINS,Ligne disques de frein,Freinage automobile,Trumpf,medium,recent,mature,recent,high,high,preventive,stable,stable,low,low,optimized,MES/SCADA/GMAO integres
MEV0012,2026-01-01 07:00:00,111.0,28.0,5.0,preventive,hydraulic,F002,major,63.0,90.0,TECH02,pump,2679.0,M02,LAS_FR_001,Découpe laser Trumpf,Découpe laser,FR01,Usine Lyon,France,FR_L_FREINS,Ligne disques de frein,Freinage automobile,Trumpf,medium,recent,mature,recent,high,high,preventive,stable,stable,low,low,optimized,MES/SCADA/GMAO integres
MEV0013,2026-01-01 07:05:00,79.0,22.0,0.0,preventive,mechanical,F003,minor,95.0,202.0,TECH01,bearing,210.0,M04,QLT_FR_001,Contrôle qualité vision,Contrôle qualité,FR01,Usine Lyon,France,FR_L_QUALITE,Contrôle qualité précision,Turbomachine aéronautique,Keyence,medium,recent,mature,recent,high,high,preventive,stable,stable,low,low,optimized,MES/SCADA/GMAO integres
MEV0014,2026-01-01 07:10:00,42.0,1.0,1.0,preventive,mechanical,F003,critical,81.66666666666667,140.0,TECH03,valve,280.0,M03,FOU_FR_001,Four traitement thermique,Four industriel,FR01,Usine Lyon,France,FR_L_ARBRES,Ligne arbres de transmission,Transmission automobile,SECO/WARWICK,critical,mid_life,mature,recent,high,high,preventive,stable,stable,low,low,optimized,MES/SCADA/GMAO integres
MEV0015,2026-01-01 07:15:00,67.0,18.0,11.0,preventive,mechanical,F002,major,68.33333333333333,121.0,TECH02,sensor,2804.0,M02,LAS_FR_001,Découpe laser Trumpf,Découpe laser,FR01,Usine Lyon,France,FR_L_FREINS,Ligne disques de frein,Freinage automobile,Trumpf,medium,recent,mature,recent,high,high,preventive,stable,stable,low,low,optimized,MES/SCADA/GMAO integres
MEV0016,2026-01-01 07:20:00,100.0,15.0,14.0,preventive,hydraulic,F001,minor,55.0,218.0,TECH03,pump,10959.99895287958,M02,LAS_FR_001,Découpe laser Trumpf,Découpe laser,FR01,Usine Lyon,France,FR_L_FREINS,Ligne disques de frein,Freinage automobile,Trumpf,medium,recent,mature,recent,high,high,preventive,stable,stable,low,low,optimized,MES/SCADA/GMAO integres
MEV0017,2026-01-01 07:25:00,66.0,5.0,11.0,preventive,hydraulic,F003,major,89.0,142.0,TECH02,bearing,1771.0,M01,CNC_FR_001,Centre d'usinage Mazak,CNC,FR01,Usine Lyon,France,FR_L_CARTERS,Ligne carters moteur,Moteur automobile,Mazak,high,recent,mature,recent,high,high,preventive,stable,stable,low,low,optimized,MES/SCADA/GMAO integres
MEV0017,2026-01-01 07:30:00,22.0,8.0,3.0,corrective,hydraulic,F002,major,167.0,239.0,TECH02,bearing,2900.0,M03,FOU_FR_001,Four traitement thermique,Four industriel,FR01,Usine Lyon,France,FR_L_ARBRES,Ligne arbres de transmission,Transmission automobile,SECO/WARWICK,critical,mid_life,mature,recent,high,high,preventive,stable,stable,low,low,optimized,MES/SCADA/GMAO integres
MEV0019,2026-01-01 07:35:00,28.0,14.0,0.0,corrective,hydraulic,F002,major,134.0,111.0,TECH02,pump,1741.5,M02,LAS_FR_001,Découpe laser Trumpf,Découpe laser,FR01,Usine Lyon,France,FR_L_FREINS,Ligne disques de frein,Freinage automobile,Trumpf,medium,recent,mature,recent,high,high,preventive,stable,stable,low,low,optimized,MES/SCADA/GMAO integres
MEV0020,2026-01-01 07:40:00,96.0,8.0,4.0,preventive,mechanical,F001,major,146.0,176.0,TECH03,pump,583.0,M04,QLT_FR_001,Contrôle qualité vision,Contrôle qualité,FR01,Usine Lyon,France,FR_L_QUALITE,Contrôle qualité précision,Turbomachine aéronautique,Keyence,medium,recent,mature,recent,high,high,preventive,stable,stable,low,low,optimized,MES/SCADA/GMAO integres
MEV0021,2026-01-01 07:45:00,103.0,28.0,2.0,preventive,electrical,F001,major,113.0,144.0,TECH02,bearing,404.0,M03,FOU_FR_001,Four traitement thermique,Four industriel,FR01,Usine Lyon,France,FR_L_ARBRES,Ligne arbres de transmission,Transmission automobile,SECO/WARWICK,critical,mid_life,mature,recent,high,high,preventive,stable,stable,low,low,optimized,MES/SCADA/GMAO integres
